lat,lon,road_class
13.7127167,100.4336134,primary
13.7258458,100.4675698,primary
13.7253286,100.4662667,primary
13.7259815,100.4674811,primary
13.7268978,100.4691757,primary
13.7273698,100.4862959,primary
13.7277824,100.4845308,primary
13.7273511,100.4871708,primary
13.7270196,100.4892081,primary
13.7267047,100.4911291,primary
13.6540408,100.4260867,trunk
13.6552085,100.4276178,trunk
13.65675,100.4297738,trunk
13.6578016,100.4314579,trunk
13.6437641,100.4125319,trunk
13.6856019,100.5473545,primary
13.8339523,100.631351,primary
13.8318111,100.6304434,primary
13.8298179,100.6298129,primary
13.8231979,100.6267533,primary
13.7773113,100.6069223,primary
13.779939,100.6073187,primary
13.7825115,100.6076268,primary
13.7848814,100.6079339,primary
13.7882721,100.6092871,primary
13.7824447,100.6080388,primary
13.7806199,100.6077966,primary
13.7786381,100.6075559,primary
13.787909,100.6096557,primary
13.8186122,100.6790329,primary
13.8187056,100.677149,primary
13.8192074,100.6722054,primary
13.8194967,100.6701786,primary
13.8189801,100.675932,primary
13.8188102,100.6780066,primary
13.8189591,100.679908,primary
13.8195042,100.6817431,primary
13.8187341,100.6832923,primary
13.8202509,100.6634686,primary
13.8204531,100.6657511,primary
13.8202822,100.6676506,primary
13.8197984,100.6696342,primary
13.8706386,100.4800001,primary
13.870751,100.4778501,primary
13.8705778,100.4758463,primary
13.870137,100.4738146,primary
13.8702389,100.4738077,primary
13.8706772,100.4758337,primary
13.8708548,100.4779644,primary
13.8707619,100.4799759,primary
13.7294913,100.7409414,motorway
13.7295572,100.7445243,motorway
14.019995,100.6995495,motorway
14.0218748,100.6987691,motorway
14.0239572,100.6982464,motorway
14.0258117,100.6981028,motorway
14.0506799,100.6980908,motorway
14.0616296,100.6970519,motorway
13.9678395,100.7132005,motorway
13.9645288,100.713188,motorway
13.96127,100.7131264,motorway
13.9577641,100.7129781,motorway
13.9521584,100.7128276,motorway
13.9502107,100.7126892,motorway
13.9443086,100.7113521,motorway
13.9359743,100.7091208,motorway
13.9303403,100.7076342,motorway
13.9245636,100.7061627,motorway
13.8186181,100.6506169,primary
13.8191509,100.6536553,primary
13.8197356,100.6572979,primary
13.8188017,100.6523531,primary
13.81926,100.6544819,primary
13.8196172,100.6563694,primary
13.8157628,100.6423265,primary
13.819271,100.6542196,primary
13.8197129,100.6564715,primary
13.8198865,100.6584884,primary
13.7225037,100.7369706,primary
13.7225098,100.7401248,primary
13.7225392,100.7421743,primary
13.7225875,100.7445189,primary
13.7226538,100.7464005,primary
13.7222318,100.7293719,primary
13.7221346,100.7270603,primary
13.7221796,100.7207861,primary
13.7221501,100.7227545,primary
13.7221608,100.7246874,primary
13.7219614,100.7089462,primary
13.721844,100.7070568,primary
13.7217408,100.7051629,primary
13.7216153,100.7031155,primary
13.7220663,100.7208126,primary
13.7221867,100.7202312,primary
13.7220683,100.7202459,primary
13.7220902,100.718258,primary
13.7220877,100.7162277,primary
13.7220582,100.7139169,primary
13.7220435,100.7120103,primary
13.7219984,100.710092,primary
13.7219791,100.7095038,primary
13.7220712,100.7089049,primary
13.722254,100.729943,primary
13.722348,100.7293536,primary
13.6589761,100.6933138,motorway
13.6588734,100.693458,motorway
13.6451692,100.7135222,primary
13.6470972,100.7140461,primary
13.6496072,100.714728,primary
13.6516011,100.7152697,primary
13.6539184,100.715934,primary
13.6559743,100.7165111,primary
13.6579562,100.7170843,primary
13.6598538,100.7176569,primary
13.6617441,100.7182214,primary
